date,mean_temperature,city
2004-08-01,27.76,belem
2004-09-01,27.11,belem
2004-10-01,,belem
2004-11-01,28.06,belem
2004-12-01,28.1,belem
2005-01-01,28.2,belem
2005-02-01,28.05,belem
2005-03-01,28.05,belem
2005-04-01,27.9,belem
2005-05-01,28.0,belem
2005-06-01,28.25,belem
2005-07-01,28.29,belem
2005-08-01,28.6,belem
2005-09-01,28.3,belem
2005-10-01,28.45,belem
2005-11-01,28.55,belem
2005-12-01,27.95,belem
2006-01-01,27.95,belem
2006-02-01,27.75,belem
2006-03-01,27.6,belem
2006-04-01,27.65,belem
2006-05-01,27.08,belem
2006-06-01,28.17,belem
2006-07-01,28.37,belem
2006-08-01,28.38,belem
2006-09-01,28.68,belem
2006-10-01,28.58,belem
2006-11-01,27.68,belem
2006-12-01,27.97,belem
2007-01-01,,belem
2007-02-01,26.97,belem
2007-03-01,27.17,belem
2007-04-01,27.52,belem
2007-05-01,28.12,belem
2007-06-01,27.97,belem
2007-07-01,27.97,belem
2007-08-01,28.07,belem
2007-09-01,28.32,belem
2007-10-01,27.37,belem
2007-11-01,28.27,belem
2007-12-01,27.71,belem
2008-01-01,25.96,belem
2008-02-01,26.96,belem
2008-03-01,27.01,belem
2008-04-01,26.56,belem
2008-05-01,27.91,belem
2008-06-01,27.81,belem
2008-07-01,28.25,belem
2008-08-01,28.81,belem
2008-09-01,28.76,belem
2008-10-01,28.76,belem
2008-11-01,28.71,belem
2008-12-01,28.6,belem
2009-01-01,28.6,belem
2009-02-01,,belem
2009-03-01,26.16,belem
2009-04-01,27.16,belem
2009-05-01,27.01,belem
2009-06-01,27.86,belem
2009-07-01,28.36,belem
2009-08-01,29.06,belem
2009-09-01,28.9,belem
2009-10-01,28.76,belem
2009-11-01,29.15,belem
2009-12-01,28.55,belem
2010-01-01,27.65,belem
2010-02-01,28.3,belem
2010-03-01,29.05,belem
2010-04-01,28.2,belem
2010-05-01,28.84,belem
2010-06-01,,belem
2010-07-01,,belem
2010-08-01,,belem
2010-09-01,,belem
2010-10-01,,belem
2010-11-01,,belem
2010-12-01,,belem
2011-01-01,,belem
2011-02-01,,belem
2011-03-01,,belem
2011-04-01,,belem
2011-05-01,,belem
2011-06-01,,belem
2011-07-01,,belem
2011-08-01,,belem
2011-09-01,,belem
2011-10-01,,belem
2011-11-01,,belem
2011-12-01,28.49,belem
2012-01-01,27.74,belem
2012-02-01,27.04,belem
2012-03-01,27.34,belem
2012-04-01,28.04,belem
2012-05-01,27.89,belem
2012-06-01,27.64,belem
2012-07-01,27.84,belem
2012-08-01,27.94,belem
2012-09-01,27.94,belem
2012-10-01,28.53,belem
2012-11-01,28.64,belem
2012-12-01,28.47,belem
2013-01-01,28.28,belem
2013-02-01,27.98,belem
2013-03-01,28.08,belem
2013-04-01,28.33,belem
2013-05-01,28.33,belem
2013-06-01,28.43,belem
2013-07-01,27.78,belem
2013-08-01,28.63,belem
2013-09-01,28.63,belem
2013-10-01,28.63,belem
2013-11-01,28.53,belem
2013-12-01,28.42,belem
2014-01-01,27.87,belem
2014-02-01,27.72,belem
2014-03-01,27.92,belem
2014-04-01,27.97,belem
2014-05-01,27.97,belem
2014-06-01,28.26,belem
2014-07-01,28.11,belem
2014-08-01,28.27,belem
2014-09-01,28.12,belem
2014-10-01,28.32,belem
2014-11-01,29.01,belem
2014-12-01,28.61,belem
2015-01-01,27.82,belem
2015-02-01,27.62,belem
2015-03-01,,belem
2015-04-01,,belem
2015-05-01,,belem
2015-06-01,,belem
2015-07-01,,belem
2015-08-01,,belem
2015-09-01,,belem
2015-10-01,,belem
2015-11-01,,belem
2015-12-01,,belem
2016-01-01,,belem
2016-02-01,28.22,belem
2016-03-01,28.32,belem
2016-04-01,28.87,belem
2016-05-01,28.72,belem
2016-06-01,28.32,belem
2016-07-01,28.52,belem
2016-08-01,28.87,belem
2016-09-01,28.77,belem
2016-10-01,28.92,belem
2016-11-01,29.07,belem
2016-12-01,28.11,belem
2017-01-01,27.51,belem
2017-02-01,27.36,belem
2017-03-01,27.11,belem
2017-04-01,27.71,belem
2017-05-01,28.61,belem
2017-06-01,28.71,belem
2017-07-01,28.51,belem
2017-08-01,28.86,belem
2017-09-01,29.21,belem
2017-10-01,28.61,belem
2017-11-01,28.66,belem
2017-12-01,28.56,belem
2018-01-01,27.86,belem
2018-02-01,27.26,belem
2018-03-01,28.11,belem
2018-04-01,27.81,belem
2018-05-01,28.21,belem
2018-06-01,28.61,belem
2018-07-01,28.46,belem
2018-08-01,28.26,belem
2018-09-01,28.51,belem
2018-10-01,28.56,belem
2018-11-01,28.66,belem
2018-12-01,27.45,belem
2019-01-01,27.6,belem
2019-02-01,27.2,belem
2019-03-01,27.35,belem
2019-04-01,27.9,belem
2019-05-01,28.4,belem
2019-06-01,28.5,belem
2019-07-01,28.8,belem
2019-08-01,28.85,belem
2019-09-01,28.9,belem
2019-10-01,28.5,belem
2019-11-01,,belem
2019-12-01,,belem
1961-01-01,21.8,curitiba
1961-02-01,21.84,curitiba
1961-03-01,20.51,curitiba
1961-04-01,19.14,curitiba
1961-05-01,16.05,curitiba
1961-06-01,14.87,curitiba
1961-07-01,15.43,curitiba
1961-08-01,17.17,curitiba
1961-09-01,18.56,curitiba
1961-10-01,19.53,curitiba
1961-11-01,20.56,curitiba
1961-12-01,20.81,curitiba
1962-01-01,20.47,curitiba
1962-02-01,20.29,curitiba
1962-03-01,20.78,curitiba
1962-04-01,17.42,curitiba
1962-05-01,14.49,curitiba
1962-06-01,12.19,curitiba
1962-07-01,12.29,curitiba
1962-08-01,14.85,curitiba
1962-09-01,16.46,curitiba
1962-10-01,15.48,curitiba
1962-11-01,19.07,curitiba
1962-12-01,20.01,curitiba
1963-01-01,22.57,curitiba
1963-02-01,21.41,curitiba
1963-03-01,22.06,curitiba
1963-04-01,18.82,curitiba
1963-05-01,15.71,curitiba
1963-06-01,13.76,curitiba
1963-07-01,15.62,curitiba
1963-08-01,16.2,curitiba
1963-09-01,19.65,curitiba
1963-10-01,18.5,curitiba
1963-11-01,20.37,curitiba
1963-12-01,19.79,curitiba
1964-01-01,21.33,curitiba
1964-02-01,21.57,curitiba
1964-03-01,20.29,curitiba
1964-04-01,19.26,curitiba
1964-05-01,15.46,curitiba
1964-06-01,13.03,curitiba
1964-07-01,12.08,curitiba
1964-08-01,14.97,curitiba
1964-09-01,16.93,curitiba
1964-10-01,17.28,curitiba
1964-11-01,17.76,curitiba
1964-12-01,19.47,curitiba
1965-01-01,20.31,curitiba
1965-02-01,21.99,curitiba
1965-03-01,19.11,curitiba
1965-04-01,18.61,curitiba
1965-05-01,15.12,curitiba
1965-06-01,16.17,curitiba
1965-07-01,13.94,curitiba
1965-08-01,16.55,curitiba
1965-09-01,17.66,curitiba
1965-10-01,18.23,curitiba
1965-11-01,19.84,curitiba
1965-12-01,20.92,curitiba
1966-01-01,22.3,curitiba
1966-02-01,22.84,curitiba
1966-03-01,21.36,curitiba
1966-04-01,18.62,curitiba
1966-05-01,16.5,curitiba
1966-06-01,15.38,curitiba
1966-07-01,15.3,curitiba
1966-08-01,14.07,curitiba
1966-09-01,15.43,curitiba
1966-10-01,17.32,curitiba
1966-11-01,19.19,curitiba
1966-12-01,21.13,curitiba
1967-01-01,20.94,curitiba
1967-02-01,21.39,curitiba
1967-03-01,20.33,curitiba
1967-04-01,19.1,curitiba
1967-05-01,17.76,curitiba
1967-06-01,14.7,curitiba
1967-07-01,15.06,curitiba
1967-08-01,17.75,curitiba
1967-09-01,17.51,curitiba
1967-10-01,20.55,curitiba
1967-11-01,,curitiba
1967-12-01,,curitiba
1968-01-01,,curitiba
1968-02-01,,curitiba
1968-03-01,,curitiba
1968-04-01,,curitiba
1968-05-01,,curitiba
1968-06-01,,curitiba
1968-07-01,,curitiba
1968-08-01,,curitiba
1968-09-01,,curitiba
1968-10-01,,curitiba
1968-11-01,,curitiba
1968-12-01,21.74,curitiba
1969-01-01,22.92,curitiba
1969-02-01,22.75,curitiba
1969-03-01,21.75,curitiba
1969-04-01,18.29,curitiba
1969-05-01,16.03,curitiba
1969-06-01,14.32,curitiba
1969-07-01,14.6,curitiba
1969-08-01,15.89,curitiba
1969-09-01,18.15,curitiba
1969-10-01,16.24,curitiba
1969-11-01,20.32,curitiba
1969-12-01,19.54,curitiba
1970-01-01,21.37,curitiba
1970-02-01,22.55,curitiba
1970-03-01,21.27,curitiba
1970-04-01,18.81,curitiba
1970-05-01,17.67,curitiba
1970-06-01,15.04,curitiba
1970-07-01,13.69,curitiba
1970-08-01,13.41,curitiba
1970-09-01,15.76,curitiba
1970-10-01,17.63,curitiba
1970-11-01,17.93,curitiba
1970-12-01,21.93,curitiba
1971-01-01,22.64,curitiba
1971-02-01,23.46,curitiba
1971-03-01,22.16,curitiba
1971-04-01,17.72,curitiba
1971-05-01,15.43,curitiba
1971-06-01,13.23,curitiba
1971-07-01,13.67,curitiba
1971-08-01,15.65,curitiba
1971-09-01,16.71,curitiba
1971-10-01,16.94,curitiba
1971-11-01,18.3,curitiba
1971-12-01,20.74,curitiba
1972-01-01,21.85,curitiba
1972-02-01,21.19,curitiba
1972-03-01,21.66,curitiba
1972-04-01,16.85,curitiba
1972-05-01,17.28,curitiba
1972-06-01,16.95,curitiba
1972-07-01,13.77,curitiba
1972-08-01,15.89,curitiba
1972-09-01,16.49,curitiba
1972-10-01,17.99,curitiba
1972-11-01,20.06,curitiba
1972-12-01,21.34,curitiba
1973-01-01,23.27,curitiba
1973-02-01,24.28,curitiba
1973-03-01,21.46,curitiba
1973-04-01,,curitiba
1973-05-01,16.2,curitiba
1973-06-01,15.04,curitiba
1973-07-01,14.73,curitiba
1973-08-01,13.82,curitiba
1973-09-01,15.07,curitiba
1973-10-01,17.03,curitiba
1973-11-01,18.96,curitiba
1973-12-01,21.69,curitiba
1974-01-01,22.18,curitiba
1974-02-01,23.23,curitiba
1974-03-01,21.94,curitiba
1974-04-01,18.42,curitiba
1974-05-01,16.26,curitiba
1974-06-01,13.47,curitiba
1974-07-01,14.74,curitiba
1974-08-01,14.99,curitiba
1974-09-01,16.91,curitiba
1974-10-01,18.05,curitiba
1974-11-01,19.32,curitiba
1974-12-01,20.41,curitiba
1975-01-01,21.57,curitiba
1975-02-01,23.02,curitiba
1975-03-01,22.06,curitiba
1975-04-01,18.53,curitiba
1975-05-01,15.63,curitiba
1975-06-01,14.57,curitiba
1975-07-01,12.28,curitiba
1975-08-01,16.96,curitiba
1975-09-01,17.28,curitiba
1975-10-01,,curitiba
1975-11-01,,curitiba
1975-12-01,,curitiba
1976-01-01,,curitiba
1976-02-01,,curitiba
1976-03-01,,curitiba
1976-04-01,,curitiba
1976-05-01,,curitiba
1976-06-01,,curitiba
1976-07-01,,curitiba
1976-08-01,,curitiba
1976-09-01,,curitiba
1976-10-01,,curitiba
1976-11-01,,curitiba
1976-12-01,,curitiba
1977-01-01,,curitiba
1977-02-01,,curitiba
1977-03-01,,curitiba
1977-04-01,,curitiba
1977-05-01,,curitiba
1977-06-01,,curitiba
1977-07-01,,curitiba
1977-08-01,,curitiba
1977-09-01,,curitiba
1977-10-01,19.17,curitiba
1977-11-01,,curitiba
1977-12-01,20.42,curitiba
1978-01-01,22.31,curitiba
1978-02-01,22.35,curitiba
1978-03-01,21.71,curitiba
1978-04-01,18.13,curitiba
1978-05-01,14.76,curitiba
1978-06-01,14.74,curitiba
1978-07-01,15.98,curitiba
1978-08-01,14.51,curitiba
1978-09-01,16.22,curitiba
1978-10-01,19.64,curitiba
1978-11-01,19.9,curitiba
1978-12-01,21.05,curitiba
1979-01-01,19.51,curitiba
1979-02-01,22.1,curitiba
1979-03-01,19.88,curitiba
1979-04-01,17.73,curitiba
1979-05-01,15.0,curitiba
1979-06-01,12.92,curitiba
1979-07-01,12.74,curitiba
1979-08-01,15.84,curitiba
1979-09-01,15.41,curitiba
1979-10-01,,curitiba
1979-11-01,18.94,curitiba
1979-12-01,,curitiba
1980-01-01,,curitiba
1980-02-01,,curitiba
1980-03-01,,curitiba
1980-04-01,,curitiba
1980-05-01,,curitiba
1980-06-01,,curitiba
1980-07-01,,curitiba
1980-08-01,,curitiba
1980-09-01,,curitiba
1980-10-01,,curitiba
1980-11-01,,curitiba
1980-12-01,21.38,curitiba
1981-01-01,,curitiba
1981-02-01,22.19,curitiba
1981-03-01,20.27,curitiba
1981-04-01,17.58,curitiba
1981-05-01,17.42,curitiba
1981-06-01,13.93,curitiba
1981-07-01,14.79,curitiba
1981-08-01,16.94,curitiba
1981-09-01,,curitiba
1981-10-01,16.72,curitiba
1981-11-01,21.21,curitiba
1981-12-01,20.5,curitiba
1982-01-01,20.93,curitiba
1982-02-01,22.45,curitiba
1982-03-01,20.5,curitiba
1982-04-01,17.88,curitiba
1982-05-01,15.63,curitiba
1982-06-01,16.37,curitiba
1982-07-01,,curitiba
1982-08-01,16.72,curitiba
1982-09-01,17.16,curitiba
1982-10-01,17.92,curitiba
1982-11-01,20.28,curitiba
